Week,Team,Points,Opponent,Opponent points,Year,Win?
1,The Indubitablys,124.75,Polk High Panthers,100.8,2017,TRUE
1,Polk High Panthers,100.8,The Indubitablys,124.75,2017,FALSE
1,Binaries,121.5,Earthbreakwood,117.23,2017,TRUE
1,Earthbreakwood,117.23,Binaries,121.5,2017,FALSE
1,Franks,139.8,Marienlyst Mofo's,94.15,2017,TRUE
1,Marienlyst Mofo's,94.15,Franks,139.8,2017,FALSE
1,Priests with guns,113.14,The Chillybows,120.29,2017,FALSE
1,The Chillybows,120.29,Priests with guns,113.14,2017,TRUE
1,The Adult Beverages,148.56,Average Joes,116.46,2017,TRUE
1,Average Joes,116.46,The Adult Beverages,148.56,2017,FALSE
2,The Indubitablys,135.01,Priests with guns,160.13,2017,FALSE
2,Priests with guns,160.13,The Indubitablys,135.01,2017,TRUE
2,Binaries,165.46,Franks,128.37,2017,TRUE
2,Franks,128.37,Binaries,165.46,2017,FALSE
2,Earthbreakwood,109.97,Average Joes,140.98,2017,FALSE
2,Average Joes,140.98,Earthbreakwood,109.97,2017,TRUE
2,Polk High Panthers,111.61,Marienlyst Mofo's,128.11,2017,FALSE
2,Marienlyst Mofo's,128.11,Polk High Panthers,111.61,2017,TRUE
2,The Adult Beverages,169.32,The Chillybows,129.82,2017,TRUE
2,The Chillybows,129.82,The Adult Beverages,169.32,2017,FALSE
3,The Indubitablys,110.6,The Adult Beverages,156.02,2017,FALSE
3,The Adult Beverages,156.02,The Indubitablys,110.6,2017,TRUE
3,Binaries,132.89,Polk High Panthers,197.55,2017,FALSE
3,Polk High Panthers,197.55,Binaries,132.89,2017,TRUE
3,Earthbreakwood,90.32,Franks,159.76,2017,FALSE
3,Franks,159.76,Earthbreakwood,90.32,2017,TRUE
3,Priests with guns,100.64,Marienlyst Mofo's,133.24,2017,FALSE
3,Marienlyst Mofo's,133.24,Priests with guns,100.64,2017,TRUE
3,The Chillybows,155.51,Average Joes,135.13,2017,TRUE
3,Average Joes,135.13,The Chillybows,155.51,2017,FALSE
4,The Indubitablys,115.53,The Chillybows,145.73,2017,FALSE
4,The Chillybows,145.73,The Indubitablys,115.53,2017,TRUE
4,Binaries,160.21,Priests with guns,119.72,2017,TRUE
4,Priests with guns,119.72,Binaries,160.21,2017,FALSE
4,Earthbreakwood,120.38,Polk High Panthers,183.44,2017,FALSE
4,Polk High Panthers,183.44,Earthbreakwood,120.38,2017,TRUE
4,Franks,137.57,Average Joes,140.67,2017,FALSE
4,Average Joes,140.67,Franks,137.57,2017,TRUE
4,The Adult Beverages,143.84,Marienlyst Mofo's,136.51,2017,TRUE
4,Marienlyst Mofo's,136.51,The Adult Beverages,143.84,2017,FALSE
5,The Indubitablys,133.02,Average Joes,136.65,2017,FALSE
5,Average Joes,136.65,The Indubitablys,133.02,2017,TRUE
5,Binaries,122.74,The Adult Beverages,166.67,2017,FALSE
5,The Adult Beverages,166.67,Binaries,122.74,2017,TRUE
5,Earthbreakwood,147.66,Priests with guns,178.1,2017,FALSE
5,Priests with guns,178.1,Earthbreakwood,147.66,2017,TRUE
5,Franks,159.34,Polk High Panthers,135.82,2017,TRUE
5,Polk High Panthers,135.82,Franks,159.34,2017,FALSE
5,The Chillybows,80.1,Marienlyst Mofo's,102.74,2017,FALSE
5,Marienlyst Mofo's,102.74,The Chillybows,80.1,2017,TRUE
6,The Indubitablys,98.22,Marienlyst Mofo's,98.89,2017,FALSE
6,Marienlyst Mofo's,98.89,The Indubitablys,98.22,2017,TRUE
6,Binaries,176.06,The Chillybows,96.82,2017,TRUE
6,The Chillybows,96.82,Binaries,176.06,2017,FALSE
6,Earthbreakwood,99.18,The Adult Beverages,139.55,2017,FALSE
6,The Adult Beverages,139.55,Earthbreakwood,99.18,2017,TRUE
6,Franks,153.95,Priests with guns,163.63,2017,FALSE
6,Priests with guns,163.63,Franks,153.95,2017,TRUE
6,Polk High Panthers,135.72,Average Joes,128.29,2017,TRUE
6,Average Joes,128.29,Polk High Panthers,135.72,2017,FALSE
7,The Indubitablys,164.29,Binaries,113.92,2017,TRUE
7,Binaries,113.92,The Indubitablys,164.29,2017,FALSE
7,Earthbreakwood,201.62,The Chillybows,142.51,2017,TRUE
7,The Chillybows,142.51,Earthbreakwood,201.62,2017,FALSE
7,Franks,116.46,The Adult Beverages,124.6,2017,FALSE
7,The Adult Beverages,124.6,Franks,116.46,2017,TRUE
7,Polk High Panthers,161.38,Priests with guns,117.58,2017,TRUE
7,Priests with guns,117.58,Polk High Panthers,161.38,2017,FALSE
7,Marienlyst Mofo's,123.65,Average Joes,142.8,2017,FALSE
7,Average Joes,142.8,Marienlyst Mofo's,123.65,2017,TRUE
8,The Indubitablys,116.81,Earthbreakwood,133.46,2017,FALSE
8,Earthbreakwood,133.46,The Indubitablys,116.81,2017,TRUE
8,Binaries,150.16,Marienlyst Mofo's,144.66,2017,TRUE
8,Marienlyst Mofo's,144.66,Binaries,150.16,2017,FALSE
8,Franks,164.52,The Chillybows,145.97,2017,TRUE
8,The Chillybows,145.97,Franks,164.52,2017,FALSE
8,Polk High Panthers,109,The Adult Beverages,116.04,2017,FALSE
8,The Adult Beverages,116.04,Polk High Panthers,109,2017,TRUE
8,Priests with guns,185.45,Average Joes,135.08,2017,TRUE
8,Average Joes,135.08,Priests with guns,185.45,2017,FALSE
9,The Indubitablys,156.97,Franks,109.42,2017,TRUE
9,Franks,109.42,The Indubitablys,156.97,2017,FALSE
9,Binaries,133.03,Average Joes,125.01,2017,TRUE
9,Average Joes,125.01,Binaries,133.03,2017,FALSE
9,Earthbreakwood,134.15,Marienlyst Mofo's,131.96,2017,TRUE
9,Marienlyst Mofo's,131.96,Earthbreakwood,134.15,2017,FALSE
9,Polk High Panthers,143.18,The Chillybows,121.51,2017,TRUE
9,The Chillybows,121.51,Polk High Panthers,143.18,2017,FALSE
9,Priests with guns,97.24,The Adult Beverages,105.62,2017,FALSE
9,The Adult Beverages,105.62,Priests with guns,97.24,2017,TRUE
10,The Indubitablys,156.21,Polk High Panthers,126.98,2017,TRUE
10,Polk High Panthers,126.98,The Indubitablys,156.21,2017,FALSE
10,Binaries,96.85,Earthbreakwood,161.87,2017,FALSE
10,Earthbreakwood,161.87,Binaries,96.85,2017,TRUE
10,Franks,140.03,Marienlyst Mofo's,115.76,2017,TRUE
10,Marienlyst Mofo's,115.76,Franks,140.03,2017,FALSE
10,Priests with guns,132.56,The Chillybows,106.24,2017,TRUE
10,The Chillybows,106.24,Priests with guns,132.56,2017,FALSE
10,The Adult Beverages,143.15,Average Joes,129.56,2017,TRUE
10,Average Joes,129.56,The Adult Beverages,143.15,2017,FALSE
11,The Indubitablys,113.15,Priests with guns,153.49,2017,FALSE
11,Priests with guns,153.49,The Indubitablys,113.15,2017,TRUE
11,Binaries,146.55,Franks,110.25,2017,TRUE
11,Franks,110.25,Binaries,146.55,2017,FALSE
11,Earthbreakwood,141.26,Average Joes,135.56,2017,TRUE
11,Average Joes,135.56,Earthbreakwood,141.26,2017,FALSE
11,Polk High Panthers,117.83,Marienlyst Mofo's,144.48,2017,FALSE
11,Marienlyst Mofo's,144.48,Polk High Panthers,117.83,2017,TRUE
11,The Adult Beverages,178.27,The Chillybows,120.44,2017,TRUE
11,The Chillybows,120.44,The Adult Beverages,178.27,2017,FALSE
12,The Indubitablys,103.73,The Adult Beverages,159.39,2017,FALSE
12,The Adult Beverages,159.39,The Indubitablys,103.73,2017,TRUE
12,Binaries,164.81,Polk High Panthers,102.18,2017,TRUE
12,Polk High Panthers,102.18,Binaries,164.81,2017,FALSE
12,Earthbreakwood,157.84,Franks,129.21,2017,TRUE
12,Franks,129.21,Earthbreakwood,157.84,2017,FALSE
12,Priests with guns,92.96,Marienlyst Mofo's,167.41,2017,FALSE
12,Marienlyst Mofo's,167.41,Priests with guns,92.96,2017,TRUE
12,The Chillybows,203.16,Average Joes,134.69,2017,TRUE
12,Average Joes,134.69,The Chillybows,203.16,2017,FALSE
13,The Indubitablys,187.17,The Chillybows,138.05,2017,TRUE
13,The Chillybows,138.05,The Indubitablys,187.17,2017,FALSE
13,Binaries,100.77,Priests with guns,153.4,2017,FALSE
13,Priests with guns,153.4,Binaries,100.77,2017,TRUE
13,Earthbreakwood,137.38,Polk High Panthers,131.3,2017,TRUE
13,Polk High Panthers,131.3,Earthbreakwood,137.38,2017,FALSE
13,Franks,126.58,Average Joes,140.84,2017,FALSE
13,Average Joes,140.84,Franks,126.58,2017,TRUE
13,The Adult Beverages,113.56,Marienlyst Mofo's,166.63,2017,FALSE
