1 	Binaries 	Win 	153.88 - 129.85
2 	Earthbreakwood 	Win 	138.77 - 100.17
3 	Franks 	Win 	151.57 - 136.63
4 	Handegg United 	Loss 	103.73 - 123.50
5 	Marienlyst Sharks 	Win 	173.43 - 172.56
6 	Charles's Crazy Team 	Loss 	135.19 - 149.26
7 	Priests with guns 	Loss 	112.80 - 117.31
8 	The Adult Beverages 	Win 	132.95 - 123.11
9 	The Chillybows 	Win 	147.75 - 95.93
10 	Binaries 	Win 	132.86 - 122.51
11 	Earthbreakwood 	Loss 	151.00 - 153.51
12 	Franks 	Win 	158.18 - 121.92
13 	Handegg United 	Win 	115.10 - 113.55
14 	Marienlyst Sharks 	Win 	162.29 - 106.25
1 	The Indubitablys 	Loss 	129.85 - 153.88
2 	The Chillybows 	Win 	152.59 - 148.62
3 	Earthbreakwood 	Win 	174.16 - 134.13
4 	Franks 	Win 	164.95 - 111.75
5 	Handegg United 	Loss 	137.01 - 141.48
6 	Marienlyst Sharks 	Loss 	142.20 - 185.62
7 	Charles's Crazy Team 	Win 	150.75 - 123.46
8 	Priests with guns 	Win 	170.20 - 128.67
9 	The Adult Beverages 	Loss 	92.09 - 171.46
10 	The Indubitablys 	Loss 	122.51 - 132.86
11 	The Chillybows 	Win 	140.11 - 88.46
12 	Earthbreakwood 	Win 	138.28 - 112.08
13 	Franks 	Loss 	142.13 - 161.61
14 	Handegg United 	Loss 	110.57 - 138.71
1 	The Adult Beverages 	Loss 	151.96 - 162.78
2 	The Indubitablys 	Loss 	100.17 - 138.77
3 	Binaries 	Loss 	134.13 - 174.16
4 	The Chillybows 	Loss 	110.26 - 120.12
5 	Franks 	Loss 	117.87 - 157.08
6 	Handegg United 	Loss 	80.30 - 135.78
7 	Marienlyst Sharks 	Win 	137.48 - 119.85
8 	Charles's Crazy Team 	Loss 	177.63 - 201.47
9 	Priests with guns 	Loss 	106.11 - 140.82
10 	The Adult Beverages 	Win 	155.39 - 143.70
11 	The Indubitablys 	Win 	153.51 - 151.00
12 	Binaries 	Loss 	112.08 - 138.28
13 	The Chillybows 	Win 	162.12 - 107.53
14 	Franks 	Loss 	140.32 - 171.53
1 	Priests with guns 	Loss 	123.67 - 163.32
2 	The Adult Beverages 	Win 	134.17 - 116.20
3 	The Indubitablys 	Loss 	136.63 - 151.57
4 	Binaries 	Loss 	111.75 - 164.95
5 	Earthbreakwood 	Win 	157.08 - 117.87
6 	The Chillybows 	Loss 	118.84 - 167.21
7 	Handegg United 	Loss 	119.38 - 156.82
8 	Marienlyst Sharks 	Loss 	151.20 - 162.42
9 	Charles's Crazy Team 	Win 	151.27 - 144.21
10 	Priests with guns 	Loss 	193.14 - 201.48
11 	The Adult Beverages 	Win 	108.70 - 104.22
12 	The Indubitablys 	Loss 	121.92 - 158.18
13 	Binaries 	Win 	161.61 - 142.13
14 	Earthbreakwood 	Win 	171.53 - 140.32
1 	Charles's Crazy Team 	Win 	136.25 - 135.70
2 	Priests with guns 	Loss 	148.68 - 149.15
3 	The Adult Beverages 	Win 	155.06 - 144.69
4 	The Indubitablys 	Win 	123.50 - 103.73
5 	Binaries 	Win 	141.48 - 137.01
6 	Earthbreakwood 	Win 	135.78 - 80.30
7 	Franks 	Win 	156.82 - 119.38
8 	The Chillybows 	Loss 	161.78 - 162.60
9 	Marienlyst Sharks 	Win 	144.27 - 141.83
10 	Charles's Crazy Team 	Loss 	104.20 - 156.08
